Actual,Predicted,Probability
0,0,0.332747293067299
0,0,0.19857080248556608
0,0,0.25013062965487004
0,0,0.23480814327382954
1,0,0.2688036417783588
0,0,0.18800611705495576
1,0,0.39057854176562484
0,0,0.15373650604378658
0,0,0.09070641217674884
0,0,0.11971396423846471
0,1,0.6850605681606281
0,0,0.133974182985963
0,0,0.22640491661897086
1,1,0.9532631281917294
0,0,0.15444554753403825
0,0,0.1364087203479236
0,0,0.2248537389062587
0,0,0.3059645258364874
0,0,0.060867262791008056
1,1,0.7564998450611254
0,0,0.14994455509562404
1,0,0.3191416400577996
0,0,0.2799094525637256
0,0,0.22041319174924237
0,0,0.037325047174178574
0,0,0.11604589006011981
0,0,0.05887094950648549
1,1,0.6848044255717689
0,0,0.11208711920329081
0,0,0.13803385688030378
0,0,0.033839846760000084
0,0,0.16627891645192389
0,0,0.2956261053583623
0,0,0.10528575652025073
1,0,0.24032343113887292
0,0,0.250971842820751
0,0,0.1466265683270316
0,0,0.06701683746593191
1,0,0.06526703314452001
0,0,0.2327465833070987
0,0,0.2789072306237025
1,0,0.18315566918111428
1,0,0.15228941374768315
0,0,0.1530043397314426
1,0,0.24826204323658876
0,0,0.15315886490037345
0,1,0.8054552018183092
0,0,0.09995198603850007
0,0,0.18264721414958526
0,0,0.07371597051615386
1,0,0.13456416962252826
0,0,0.058438519301225136
0,0,0.2198006024618202
0,0,0.3169044428990568
0,0,0.056246132632101625
0,0,0.05245131129723264
0,0,0.13614777491524477
0,0,0.08685208170398394
0,0,0.13556463511395112
0,0,0.14788964928509674
1,0,0.12958504885512528
0,1,0.6643479633086736
0,0,0.24405161482389737
0,0,0.13472973263369806
0,0,0.14607185214893215
0,0,0.05294833647717791
0,0,0.2923044173316973
0,0,0.3700020757245072
1,0,0.19485337459007937
0,0,0.28131741280005745
0,0,0.20920200498686167
1,0,0.15946792658029388
1,0,0.2714395004551987
0,0,0.2644111668206115
0,0,0.08897985778774041
1,0,0.09009280373418392
0,0,0.09589223155397901
1,0,0.2831724056585368
0,0,0.13592303107450718
0,0,0.2442028316450151
0,0,0.08498185418051642
1,0,0.23564683626608454
0,0,0.23500385975335505
0,0,0.060026063365529014
0,0,0.09289621494862918
0,0,0.3571210035912339
1,0,0.03569739265192477
1,0,0.3321590123124334
0,0,0.22944184746799934
0,0,0.239200152806383
1,0,0.42578570041669167
1,0,0.2630115645823659
1,1,0.5612239837081249
0,0,0.29806843644651454
0,0,0.12329027690927778
0,0,0.2314976443789904
1,0,0.21780911616429524
0,0,0.2994193658613337
0,0,0.06930053827047364
